Clave compendio,Codigo del expediente,Número del procedimiento o contratación,Partida específica,Clave CUCoP+,Descripción CUCoP+,Descripción detallada,Unidad de medida,Cantidad solicitada,Clave partidas,Dependencia,desc_det_anuncio,uc,fecha_presentacion,fecha_pub,uri,scrapped_day
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0605,INSUMO QUIRURGICO,"MEDIO PARA CULTIVO EMBRIONARIO ININTERRUMPIDO CONTINUOUS, KIT DE 2 FRASCOS DE 20 ML C/U.",PIEZA,5,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0605,INSUMO QUIRURGICO,"CRYOTOP, CAJA CON 10 PIEZAS C/U.",PIEZA,15,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0048,TUBO MUESTRADOR,TUBOS PLÁSTICOS ESTÉRILES DE 14 ML. CAJA CON 500 PIEZAS.,PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0005,ACEITE MINERAL PARA USO EXTERNO,"ACEITE MINERAL, FRASCO CON 500 ML.",PIEZA,5,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0005,CAJA PETRI,"CAJAS PETRI 35 MM. DE POLIESTIRENO, PAQUETE CON 10 PIEZAS.",PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0005,CAJA PETRI,"CAJAS PETRI 100 MM. DE POLIESTIRENO 100 MM., BOLSA CON 10 PIEZAS.",PIEZA,25,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0071,PLACA,"PLACA ICSI PARA FIV DE 51 MM., BOLSA CON 10 PIEZAS.",PIEZA,2,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0005,CAJA PETRI,CAJA DE DOBLE POZO (CENTER WELL 60 MM. ) O CENTER WELL DISH FIV 55 MM.,PIEZA,200,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0047,TUBO ENSAYO,"TUBOS DE FONDO REDONDO DE 5 ML., TUBO PARA CENTRIFUGA HECHO DE POLIESTIRENO ESTÉRIL, PAQUETE DE 25 PIEZAS.",PIEZA,5,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0095,PUNTAS PARA MICROPIPETA,PUNTAS CON FILTRO PARA MICROPIPETA DE 1000 ΜL. (MICROLITROS),PIEZA,10,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0095,PUNTAS PARA MICROPIPETA,PUNTAS CON FILTRO PARA MICROPIPETA DE 20-200 ΜL. (MICROLITROS),PIEZA,10,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0095,PUNTAS PARA MICROPIPETA,PUNTAS CON FILTRO PARA MICROPIPETA 1-10 ΜL. (MICROLITROS),PIEZA,10,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0095,PUNTAS PARA MICROPIPETA,"PUNTA STRIPPERS FLEXIPET 150 (PIPETA PARA DENUDACIÓN DISTINTIVA), PAQUETE DE 10 PIEZAS.",PIEZA,30,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0095,PUNTAS PARA MICROPIPETA,"PUNTA STRIPPERS FLEXIPET 300 (PIPETA PARA DENUDACIÓN DISTINTIVA), PAQUETE DE 10 PIEZAS.",PIEZA,30,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0105,AGUJA PARA TOMA MULTIPLE,"AGUJA ICSI, PORTA PIPETA DE CRISTAL ICSI, CAJA CON 10 PIEZAS.",PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0105,AGUJA PARA TOMA MULTIPLE,"AGUJA HOLDING, PORTAPIPETA DE CRISTAL HOLDING.",PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0031,PIPETA,"PIPETA DE 5 ML., SEROLÓGICA DE POLIETIRENO, BOLSA CON 50 PIEZAS.",PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0031,PIPETA,"PIPETA DE 2 ML., PIPETA SEROLÓGICA DE POLIESTIRENO, BOLSA CON 100 PIEZAS.",PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0072,RECIPIENTE,"BASTÓN DE ALUMINIO 13 MM., PAQUETE CON 50 PIEZAS.",PIEZA,1,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0098,PAPEL FILTRO,ETIQUETA DE ALUMINIO AMARILLA NO IMPRESA.,PIEZA,50,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0244,GUANTES PARA EXPLORACION,"GUANTES AMBIDERM DE NITRILO PARA EXPLORACION SIN TALCO, NO ESTERIL, MEDIANO, CAJA CON 100 PIEZAS.",PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0150,CUBRE OBJETOS,"CUBRE OBJETOS DE 22 X 22 MM., CAJA CON 100 PIEZAS.",PIEZA,10,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0035,PORTA OBJETOS,"PORTA OBJETOS 25.4 X 76 MM. SENCILLOS, CAJA CON 50 PIEZAS.",PIEZA,10,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0556,ALBUMINA,"ALBÚMINA, CAJA CON 10 FRASCOS DE 5 ML.",PIEZA,5,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0605,INSUMO QUIRURGICO,"GRADIENTES UPPER Y LOWER, CAJA DE 12 FRASCOS DE 5 ML.",PIEZA,5,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-0605,INSUMO QUIRURGICO,"FREEZING MEDIO, VIALES CON 5 ML.",PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0059,ACEITE DE INMERSION,LÍQUIDO REPUESTO DE FYRITA FRASCO 0-20%.,PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,23801,23801-0230,DESINFECTANTES (PARA SU COMERCIALIZACION),"DESINFECTANTE INCUBADORA EN TOALLITAS, PAQUETE CON 70 PIEZAS.",PIEZA,5,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0104,LAPIZ PUNTA DIAMANTE,LÁPIZ DIAMANTE.,PIEZA,3,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,25501,25501-0048,TUBO MUESTRADOR,"GOBLET BLANCO 13 MM., BOLSA CON 50 PIEZAS.",PIEZA,1,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
,E-2024-00114409,LA-07-110-007000999-T-91-2025,22301,22301-0099,POPOTE,"POPOTE DE CARTÓN 13 MM., CAJA CON 50 PIEZAS.",PIEZA,2,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
080.826.5920,E-2024-00114409,LA-07-110-007000999-T-91-2025,25401,25401-7316,080.826.5920 TUBOS TUBO CONICO DE POLIESTIRENO O POLIPROPILENO ESTERIL CON TAPON DE ROSCA GRADUADO CON CAPACIDAD DE 15 ML. ENVASE CON 1000 PIEZAS.,"TUBO CÓNICO 15 ML., ESTÉRIL, CAJA CON 10 PAQUETES.",PIEZA,2,"22301,23801,25101,25301,25401,25501",007000 - SECRETARIA DE LA DEFENSA NACIONAL,ADQUISICIÓN DE INSUMOS PARA LA SALUD REPRODUCTIVA,SUBDIRECCIÓN DE ADQUISICIONES,22/01/2025 09:00,13/12/2024 13:17,https://upcp-compranet.funcionpublica.gob.mx/sitiopublico/#/sitiopublico/detalle/b4c5b3c5da7044c7b6d9fa77bd442240/procedimiento,18/01/2025
