Clave compendio,Clave Cucop,Descripción detallada,Codigo del expediente,Número del procedimiento o contratación,Dependencia,Número Unidad Compradora,Nombre Unidad Compradora,Fecha y hora de la publicación,Año del ejercicio presupuestal,Clave partidas,Proveedor,Número de contrato,Fecha de inicio,Fecha de fin,Importe Unitario sin Impuestos,Total Sin IVA,Total con IVA,uri,scrapped_day,total cantidad minima
,25101-0037,PROTES OX19 FCO 5 ML,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$186.00,"$2,976.00","$3,452.16",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024,
,25101-0037,REACTIVO ROSA DE BENGALA PARA BRUCELA ENV C/50 PBAS,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$755.00,$755.00,$875.80,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024,
,25101-0063,AGUA BIDESTILADA ENVASE DE 20 LTS,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$252.00,"$9,072.00","$10,523.52",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024,
,25101-0037,"PRUEBA PARA LA DETECCION DE ANTICUERPOS DENGUE, CAJA 10 PRUBAS",E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$530.70,"$38,741.10","$44,939.67",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024,
,25101-0037,TROPONINA CAJA C/10 PRUEBAS (CASSETTE),E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,"$1,102.80","$5,514.00","$6,396.24",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024,
,25501-0035,PORTA OBJETOS 26X76 MM CAJA CON 50,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$42.00,"$11,340.00","$13,154.40",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024,
,25501-0031,PIPETA PASTEUR DE VIDRIO DE 5.75 INCH (146 MM CAJA C/200),E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$425.00,"$2,125.00","$2,465.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024,
,25501-0031,PIPETA DE VIDRIO AFORADA DE 5 ML,E-2023-00084823,AA-51-GYN-051GYN033-N-32-2023,051GYN - INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,051GYN033,SUBDELEGACIÓN DE ADMINISTRACIÓN,28/09/2023 13:01,2023,"25101,25401,25501",JOSE OLVERA HERNANDEZ,DEO/DRMO/AD/066/2023,23/05/2023,31/07/2023,$127.00,"$1,270.00","$1,473.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/51209a701dda4194b760347a89155590/procedimiento,27/07/2024,
,25501-0043,"2 CAJAS DE ROLLO DE 30MTS C/U DE TUBO CORRUGADO CORR A FLEX II EN ROLLO 100 PIES (30 MTS.) MCA. HUDSON CLAVE DE PRODUCTO:U-1680 1PZA DE SOPORTE DE MONTAJE PARA TANQUE DE OXÍGENO PARA VENTILADOR EHÉCATL 2.0 CLAVE DE PRODUCTO: 768968 1PZA DE ADAPTADOR DE VÍAS RESPIRATORIAS (PARA CAPNOGRAFIA SPU, PACIENTE ADULTO PAQUETE CON 25 PZAS) 1 CABLE/SENSOR DE DIAGNÓSTICO DE CAPNOGRAFÍA CONVENCIONAL (MAINSTREAM) CLAVE DE PRODUCTO:301.114.000",E-2023-00061918,AA-38-9ZU-0389ZU001-N-139-2023,0389ZU - CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,0389ZU001,SUBDIRECCION DE RECURSOS MTERIALES Y SERVICIOS GENERALES,20/07/2023 16:56,2023,25501,SERVICIOS DE INGENIERIA EN MEDICINA SA DE CV,100115874,26/04/2023,18/05/2023,"$74,120.00","$74,120.00","$85,979.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/6a2340252d064fcbb589d13b7b4c3987/procedimiento,27/07/2024,
,27201-0012,"GUANTES PARA EXPLORACION, AMBIDIESTRO, ESTERILES. DE POLIETILENO, DESECHABLES.,TAMAÑOS: GRANDE. ENVASE CON 100 PIEZAS.",E-2023-00049986,AA-50-GYR-050GYR001-I-179-2023,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR001,"DEL. GUERRERO, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",26/06/2023 11:02,2023,"24801,25401,25501,27201,29501,53201",CORPORACION ARMO SA DE CV,D3P0273,22/06/2023,02/07/2023,$210.00,"$10,080.00","$11,692.80",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/9c01ddd2090c4ef1afa3df02c3bac7dc/procedimiento,27/07/2024,
,25401-0149,"CUBREBOCAS QUIRURGICO. CUBREBOCA QUIRURGICO ELABORADO CON DOS CAPAS EXTERNAS DETELA NO TEJIDA, UN FILTRO INTERMEDIO DE POLIPROPILENO; PLANO O PLISADO; CONAJUSTE NASAL MOLDEABLE. RESISTENTE A FLUIDOS, ANTIESTATICO, HIPOALERGENICO. CONBANDAS O AJUSTE ELASTI",E-2023-00049986,AA-50-GYR-050GYR001-I-179-2023,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR001,"DEL. GUERRERO, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",26/06/2023 11:02,2023,"24801,25401,25501,27201,29501,53201",CORPORACION ARMO SA DE CV,D3P0273,22/06/2023,02/07/2023,$0.37,"$27,365.57","$31,744.06",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/9c01ddd2090c4ef1afa3df02c3bac7dc/procedimiento,27/07/2024,
,25401-0518,TUBOS. ENDOTRAQUEALES. DE PLASTICO GRADO MEDICO CON MARCA RADIOPACA ESTERILESDESECHABLES CON GLOBO DE ALTO VOLUMEN Y BAJA PRESION INCLUYE UNA VALVULA UNCONECTOR Y UNA ESCALA EN MM PARA DETERMINAR LA PROFUNDIDAD DE LA COLOCACION DELTUBO. CON ORIFICIO. TIPO,E-2023-00049986,AA-50-GYR-050GYR001-I-179-2023,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR001,"DEL. GUERRERO, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",26/06/2023 11:02,2023,"24801,25401,25501,27201,29501,53201",SOLUCIONES INTEGRALES WEALTH SA DE CV,D3P0274,22/06/2023,02/07/2023,$48.60,"$12,879.00","$14,939.64",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/9c01ddd2090c4ef1afa3df02c3bac7dc/procedimiento,27/07/2024,
,25401-0294,"080 025 0052 00 02 AGUJA PARA TOMA Y RECOLECC -ION DE SANGRE PARA LA TOMA -SENCILLA Y/O MULTIPLE, ESTE-RIL, DESECHABLE, DE: 21G X38 MM. CJA 100 PZA",E-2023-00048140,AA-50-GYR-050GYR002-T-133-2023,050GYR - INSTITUTO MEXICANO DEL SEGURO SOCIAL,050GYR002,JEFATURA DE SERVICIOS ADMINISTRATIVOS,14/06/2023 16:15,2023,"25301,25401,25501,27201,53101",CONVERMEDIC DE MEXICO SA DE CV,D3P0789,14/06/2023,24/06/2023,$379.00,"$1,516,000.00","$1,758,560.00",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/2d563226977c472aa4c459a73e95aa5d/procedimiento,27/07/2024,
,25501-0090,"GUANTES DE NÍTRILO, NO ESTÉRIL, CH, ""SOFT"" TEXTURIZADO, LIBRE DE POLVO, COLOR AZÚL, C/100 PZAS. AMBIDERM CAT 106031-CH",E-2023-00105530,AA-12-NCD-012NCD001-I-413-2023,012NCD - INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSIO VILLEGAS,012NCD001,DEPARTAMENTO DE ADQUISICIONES,25/10/2023 14:34,2023,"25101,25501",COMERCIALIZADORA E IMPORTADORA DE PRODUCTOS QUIMICOS SA DE CV,230561,26/10/2023,31/12/2023,$122.00,"$1,220.00","$1,415.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/01dbd07d813d4dd795a9b3046998c880/procedimiento,27/07/2024,
,25501-0090,"GUANTES DE NITRILO, NO ESTÉRIL, MED, 'SOFT"" TEXTURIZADO, LIBRE DE POLVO, COLOR AZÚL, C/100 PZAS. AMBIDERM CAT 106031-M",E-2023-00105530,AA-12-NCD-012NCD001-I-413-2023,012NCD - INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSIO VILLEGAS,012NCD001,DEPARTAMENTO DE ADQUISICIONES,25/10/2023 14:34,2023,"25101,25501",COMERCIALIZADORA E IMPORTADORA DE PRODUCTOS QUIMICOS SA DE CV,230561,26/10/2023,31/12/2023,$122.00,"$1,220.00","$1,415.20",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/01dbd07d813d4dd795a9b3046998c880/procedimiento,27/07/2024,
,25101-0037,"ALPHA 1 ACID GLYCOPROTEIN ANTIBODY, 100UL. BIOSS CAT. BS-6652R",E-2023-00105530,AA-12-NCD-012NCD001-I-413-2023,012NCD - INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSIO VILLEGAS,012NCD001,DEPARTAMENTO DE ADQUISICIONES,25/10/2023 14:34,2023,"25101,25501",COMERCIALIZADORA E IMPORTADORA DE PRODUCTOS QUIMICOS SA DE CV,230561,26/10/2023,31/12/2023,"$10,735.00","$10,735.00","$12,452.60",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/01dbd07d813d4dd795a9b3046998c880/procedimiento,27/07/2024,
,25101-0037,"BRILLIANT VIOLET 421"" ANTI·HUMAN CD66B ANTIBODY, 25 TESTS. BIOLEGEND CAT.392915",E-2023-00105530,AA-12-NCD-012NCD001-I-413-2023,012NCD - INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSIO VILLEGAS,012NCD001,DEPARTAMENTO DE ADQUISICIONES,25/10/2023 14:34,2023,"25101,25501",COMERCIALIZADORA E IMPORTADORA DE PRODUCTOS QUIMICOS SA DE CV,230561,26/10/2023,31/12/2023,"$4,511.00","$4,511.00","$5,232.76",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/01dbd07d813d4dd795a9b3046998c880/procedimiento,27/07/2024,
,25101-0037,"PE/CYANINE7 ANTI-HUMAN CD16, 25 TESTS. BIOLEGEND CAT 302015",E-2023-00105530,AA-12-NCD-012NCD001-I-413-2023,012NCD - INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSIO VILLEGAS,012NCD001,DEPARTAMENTO DE ADQUISICIONES,25/10/2023 14:34,2023,"25101,25501",COMERCIALIZADORA E IMPORTADORA DE PRODUCTOS QUIMICOS SA DE CV,230561,26/10/2023,31/12/2023,"$3,342.00","$3,342.00","$3,876.72",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/01dbd07d813d4dd795a9b3046998c880/procedimiento,27/07/2024,
,25101-0037,"GOAT ANTI-RABBIT LGG (H+L) CROSS-ADSORBED SECONDARY ANTIBODY, ALEXA FLUOR TM 700, 1 MG. INVITROGEN CAT. A-21038",E-2023-00105530,AA-12-NCD-012NCD001-I-413-2023,012NCD - INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSIO VILLEGAS,012NCD001,DEPARTAMENTO DE ADQUISICIONES,25/10/2023 14:34,2023,"25101,25501",COMERCIALIZADORA E IMPORTADORA DE PRODUCTOS QUIMICOS SA DE CV,230561,26/10/2023,31/12/2023,"$7,369.00","$7,369.00","$8,548.04",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/01dbd07d813d4dd795a9b3046998c880/procedimiento,27/07/2024,
,25101-0037,"MITOPROBE TM TRANSITION PORE ASSAY KIT, FOR FLOW CYTOMETRY, 1 KIT. INVITROGEN CAT M341 53",E-2023-00105530,AA-12-NCD-012NCD001-I-413-2023,012NCD - INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSIO VILLEGAS,012NCD001,DEPARTAMENTO DE ADQUISICIONES,25/10/2023 14:34,2023,"25101,25501",COMERCIALIZADORA E IMPORTADORA DE PRODUCTOS QUIMICOS SA DE CV,230561,26/10/2023,31/12/2023,"$16,694.00","$16,694.00","$19,365.04",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/01dbd07d813d4dd795a9b3046998c880/procedimiento,27/07/2024,
,25101-0037,"MYELOPEROXIDASE/MPO ANTIBODY (2C7), ALLOPHYCOCYANIN, 0.1 ML. NOVUS BIOLOGICALS CAT. NB100-64241",E-2023-00105530,AA-12-NCD-012NCD001-I-413-2023,012NCD - INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS ISMAEL COSIO VILLEGAS,012NCD001,DEPARTAMENTO DE ADQUISICIONES,25/10/2023 14:34,2023,"25101,25501",COMERCIALIZADORA E IMPORTADORA DE PRODUCTOS QUIMICOS SA DE CV,230561,26/10/2023,31/12/2023,"$11,359.00","$11,359.00","$13,176.44",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/01dbd07d813d4dd795a9b3046998c880/procedimiento,27/07/2024,
,25501-0088,"NUNC NON-TREATED FLASKS; NUNC NON-TREATED T75 EASYFLASK, FILTER CAP, CASE OF 100 CAT. 156800 MARCA THERMO SCIENTIFIC",E-2024-00066274,AA-12-NDF-012NDF999-N-346-2024,012NDF - INSTITUTO NACIONAL DE REHABILITACION LUIS GUILLERMO IBARRA IBARRA,012NDF999,SUBDIRECCION DE COMPRAS Y SUMINISTROS,31/05/2024 20:25,2024,25501,BIOADVANCED SYSTEMS SA DE CV,"PEDIDO MAYOR 559 BIOADVANCED SYSTEMS, S.A. DE C.V.",01/06/2024,31/07/2024,"$7,329.77","$7,329.77","$8,502.53",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/7ecc55bdb54540a199ba068d8e677488/procedimiento,27/07/2024,
,25501-0088,MICROAMP FAST OPTICAL 48-WELL REACTION CAT. 4375816 MARCA APPLIED BIOSYSTEMS,E-2024-00066274,AA-12-NDF-012NDF999-N-346-2024,012NDF - INSTITUTO NACIONAL DE REHABILITACION LUIS GUILLERMO IBARRA IBARRA,012NDF999,SUBDIRECCION DE COMPRAS Y SUMINISTROS,31/05/2024 20:25,2024,25501,BIOADVANCED SYSTEMS SA DE CV,"PEDIDO MAYOR 559 BIOADVANCED SYSTEMS, S.A. DE C.V.",01/06/2024,31/07/2024,"$1,341.90","$8,051.40","$9,339.62",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/7ecc55bdb54540a199ba068d8e677488/procedimiento,27/07/2024,
,25501-0088,MICROAMP 48-WELL OPTICAL ADHESIVE FILM CAT. 4375928 MARCA APPLIED BIOSYSTEMS,E-2024-00066274,AA-12-NDF-012NDF999-N-346-2024,012NDF - INSTITUTO NACIONAL DE REHABILITACION LUIS GUILLERMO IBARRA IBARRA,012NDF999,SUBDIRECCION DE COMPRAS Y SUMINISTROS,31/05/2024 20:25,2024,25501,BIOADVANCED SYSTEMS SA DE CV,"PEDIDO MAYOR 559 BIOADVANCED SYSTEMS, S.A. DE C.V.",01/06/2024,31/07/2024,"$1,453.63","$7,268.15","$8,431.05",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/7ecc55bdb54540a199ba068d8e677488/procedimiento,27/07/2024,
,25501-0088,NALGENE RAPID-FLOW STERILE SINGLE USE BOTTLE TOP FILTERS CASE OF 12 CAT. 5954520 MARCA THERMO SCIENTIFIC,E-2024-00066274,AA-12-NDF-012NDF999-N-346-2024,012NDF - INSTITUTO NACIONAL DE REHABILITACION LUIS GUILLERMO IBARRA IBARRA,012NDF999,SUBDIRECCION DE COMPRAS Y SUMINISTROS,31/05/2024 20:25,2024,25501,BIOADVANCED SYSTEMS SA DE CV,"PEDIDO MAYOR 559 BIOADVANCED SYSTEMS, S.A. DE C.V.",01/06/2024,31/07/2024,"$3,242.92","$3,242.92","$3,761.79",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/7ecc55bdb54540a199ba068d8e677488/procedimiento,27/07/2024,
,25501-0088,"NALGENE RAPID-FLOW STERILE SINGLE USE BOTTLE TOP FILTERS, PORE SIZE 0.2 ¿M, CASE OF 12. CAT. 5964520 MARCA THERMO SCIENTIFIC",E-2024-00066274,AA-12-NDF-012NDF999-N-346-2024,012NDF - INSTITUTO NACIONAL DE REHABILITACION LUIS GUILLERMO IBARRA IBARRA,012NDF999,SUBDIRECCION DE COMPRAS Y SUMINISTROS,31/05/2024 20:25,2024,25501,BIOADVANCED SYSTEMS SA DE CV,"PEDIDO MAYOR 559 BIOADVANCED SYSTEMS, S.A. DE C.V.",01/06/2024,31/07/2024,"$2,348.95","$4,697.90","$5,449.56",https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/7ecc55bdb54540a199ba068d8e677488/procedimiento,27/07/2024,
